event	type	value	time
341	removal	2	185.713195
342	S	4	185.963214
0	key	0)	55878.735710
343	removal	4	186.563319
344	S	1	186.813351
0	key	1!	55879.583707
345	removal	1	187.413448
346	S	3	187.663485
0	key	9(	55880.407707
347	removal	3	188.263583
348	S	4	188.513615
0	key	0)	55881.431710
349	removal	4	189.113728
350	S	2	189.363759
0	key	2@	55882.143728
351	removal	2	189.963864
352	S	1	190.213897
0	key	1!	55882.927709
353	removal	1	190.813992
354	S	2	191.064027
0	key	2@	55884.055710
355	removal	2	191.664089
356	S	3	191.914124
0	key	9(	55884.727710
357	removal	3	192.514218
358	S	1	192.764259
0	key	1!	55885.495717
359	removal	1	193.364359
360	S	4	193.614403
0	key	0)	55886.367708
361	removal	4	194.214506
362	S	3	194.464534
0	key	9(	55887.223711
363	removal	3	195.064643
364	S	2	195.314661
0	key	2@	55888.039710
365	removal	2	195.914753
366	S	4	196.164794
0	key	0)	55888.903694
367	removal	4	196.764894
368	S	1	197.014906
0	key	1!	55889.751706
369	removal	1	197.615003
370	S	3	197.865042
0	key	9(	55890.599701
371	removal	3	198.465141
372	S	4	198.715173
0	key	0)	55891.487695
373	removal	4	199.315285
374	S	2	199.565318
0	key	2@	55892.311711
375	removal	2	200.165400
376	S	1	200.415432
0	key	1!	55893.175711
377	removal	1	201.015534
378	S	2	201.265575
0	key	2@	55894.071710
379	removal	2	201.865683
380	S	3	202.115715
0	key	9(	55894.959677
381	removal	3	202.715793
382	S	1	202.965840
0	key	1!	55895.727675
383	removal	1	203.565946
384	S	4	203.815988
0	key	0)	55896.575713
385	removal	4	204.416064
386	S	3	204.666096
0	key	9(	55897.447711
387	removal	3	205.266174
388	S	2	205.516252
0	key	2@	55898.239716
389	removal	2	206.116321
390	S	4	206.366354
0	key	0)	55899.135711
391	removal	4	206.966478
392	rest	+	207.216511
393	cue	R	219.216310
394	R	1	221.216575
395	removal	1	221.818739
0	key	1!	55914.313311
396	R	4	222.068776
0	key	0)	55914.913470
397	removal	4	222.668876
398	R	2	222.918923
0	key	2@	55915.681478
399	removal	2	223.519021
400	R	3	223.769055
0	key	9(	55916.505469
401	removal	3	224.369123
402	R	2	224.619191
0	key	1!	55917.377463
403	removal	2	225.219264
404	R	3	225.469323
0	key	9(	55918.225459
405	removal	3	226.069407
406	R	1	226.319448
0	key	2@	55919.065432
407	removal	1	226.919522
408	R	4	227.169553
0	key	0)	55919.929468
409	removal	4	227.769659
410	R	3	228.019680
0	key	9(	55920.777459
411	removal	3	228.619787
412	R	4	228.869847
0	key	0)	55921.641441
413	removal	4	229.469912
414	R	2	229.719953
0	key	2@	55922.481442
415	removal	2	230.320029
416	R	1	230.570105
0	key	1!	55923.281463
417	removal	1	231.170179
418	R	2	231.420237
0	key	2@	55924.201430
419	removal	2	232.020318
420	R	1	232.270363
0	key	1!	55925.081459
421	removal	1	232.870426
422	R	3	233.120493
0	key	9(	55925.857461
423	removal	3	233.720568
424	R	4	233.970634
0	key	0)	55926.705461
425	removal	4	234.570714
426	R	2	234.820753
0	key	2@	55927.545461
427	removal	2	235.420846
428	R	1	235.670886
0	key	1!	55928.425458
429	removal	1	236.270981
430	R	3	236.521007
0	key	9(	55929.225426
431	removal	3	237.121108
432	R	4	237.371133
0	key	0)	55930.129450
433	removal	4	237.971226
434	R	2	238.221270
0	key	2@	55930.953458
435	removal	2	238.821358
436	R	3	239.071405
0	key	9(	55931.833427
437	removal	3	239.671491
438	R	1	239.921536
0	key	1!	55932.673460
439	removal	1	240.521617
440	R	4	240.771667
0	key	0)	55933.481463
441	removal	4	241.371737
442	rest	+	241.621803
443	cue	S	253.621600
444	S	2	255.621876
0	key	2@	55948.649434
445	removal	2	256.224053
446	S	1	256.474074
0	key	1!	55949.313431
447	removal	1	257.074179
448	S	2	257.324234
0	key	2@	55950.097460
449	removal	2	257.924314
450	S	3	258.174346
0	key	9(	55950.945461
451	removal	3	258.774428
452	S	1	259.024461
0	key	1!	55951.833462
453	removal	1	259.624557
454	S	4	259.874601
0	key	0)	55952.657461
455	removal	4	260.474688
456	S	3	260.724723
0	key	9(	55953.473441
457	removal	3	261.324821
458	S	2	261.574855
0	key	2@	55954.321459
459	removal	2	262.174942
460	S	4	262.424993
0	key	0)	55955.193460
461	removal	4	263.025096
462	S	1	263.275123
0	key	1!	55956.025433
463	removal	1	263.875220
464	S	3	264.125263
0	key	9(	55956.881459
465	removal	3	264.725343
466	S	4	264.975375
0	key	0)	55957.737460
467	removal	4	265.575482
468	S	2	265.825510
0	key	2@	55958.553460
469	removal	2	266.425613
470	S	1	266.675657
0	key	1!	55959.361460
471	removal	1	267.275742
472	S	2	267.525784
0	key	2@	55960.305438
473	removal	2	268.125889
474	S	3	268.375911
0	key	9(	55961.121418
475	removal	3	268.975994
476	S	1	269.226036
0	key	1!	55961.969461
477	removal	1	269.826125
478	S	4	270.076185
0	key	0)	55962.809427
479	removal	4	270.676266
480	S	3	270.926325
0	key	9(	55963.673459
481	removal	3	271.526410
482	S	2	271.776437
0	key	2@	55964.505461
483	removal	2	272.376525
484	S	4	272.626594
0	key	0)	55965.369447
485	removal	4	273.226663
486	S	1	273.476710
0	key	1!	55966.217460
487	removal	1	274.076769
488	S	3	274.326820
0	key	9(	55967.081460
489	removal	3	274.926917
490	S	4	275.176959
0	key	0)	55967.905468
491	removal	4	275.760381
492	S	2	276.010405
0	key	2@	55968.745460
493	removal	2	276.610503
494	S	1	276.860550
0	key	1!	55969.633459
495	removal	1	277.460642
496	S	2	277.710672
0	key	2@	55970.497462
497	removal	2	278.310783
498	S	3	278.560810
0	key	9(	55971.321432
499	removal	3	279.160912
500	S	1	279.410931
0	key	1!	55972.177458
501	removal	1	280.011047
502	S	4	280.261083
0	key	0)	55973.001461
503	removal	4	280.861177
504	S	3	281.111219
0	key	9(	55973.897458
505	removal	3	281.711312
506	S	2	281.961346
0	key	2@	55974.657460
507	removal	2	282.561452
508	S	4	282.811486
0	key	0)	55975.569460
509	removal	4	283.411591
510	S	1	283.661578
0	key	1!	55976.489460
511	removal	1	284.261692
512	S	3	284.511762
0	key	9(	55977.217457
513	removal	3	285.111814
514	S	4	285.361853
0	key	0)	55978.105459
515	removal	4	285.961959
516	S	2	286.211982
0	key	2@	55978.945460
517	removal	2	286.812091
518	S	1	287.062136
0	key	1!	55979.817454
519	removal	1	287.662224
520	S	2	287.912272
0	key	9(	55980.601439
521	removal	2	288.512365
522	S	3	288.762405
0	key	9(	55981.489427
523	removal	3	289.362504
524	S	1	289.612524
0	key	1!	55982.465412
525	removal	1	290.212625
526	S	4	290.462653
0	key	0)	55983.193463
527	removal	4	291.062727
528	S	3	291.312752
0	key	9(	55984.089459
529	removal	3	291.912855
530	S	2	292.162906
0	key	2@	55984.865461
531	removal	2	292.762996
532	S	4	293.013037
0	key	0)	55985.761451
533	removal	4	293.613136
534	S	1	293.863167
0	key	1!	55986.641460
535	removal	1	294.463270
536	S	3	294.713305
0	key	9(	55987.473461
537	removal	3	295.313399
538	S	4	295.563442
0	key	0)	55988.353459
539	removal	4	296.163531
540	S	2	296.413579
0	key	2@	55989.129461
541	removal	2	297.013652
542	S	1	297.263712
0	key	1!	55990.017461
543	removal	1	297.863795
544	S	2	298.113838
0	key	2@	55990.929459
545	removal	2	298.713898
546	S	3	298.963939
0	key	9(	55991.729461
547	removal	3	299.564042
548	S	1	299.814084
0	key	1!	55992.561454
549	removal	1	300.414168
550	S	4	300.664213
0	key	0)	55993.417463
551	removal	4	301.264306
552	S	3	301.514340
0	key	9(	55994.257416
553	removal	3	302.114447
554	S	2	302.364474
0	key	2@	55995.089481
555	removal	2	302.964577
556	S	4	303.214627
0	key	0)	55995.961459
557	removal	4	303.814711
558	S	1	304.064755
0	key	1!	55996.817460
559	removal	1	304.664827
560	S	3	304.914887
0	key	0)	55997.601458
561	removal	3	305.514976
562	S	4	305.765023
0	key	0)	55998.553461
563	removal	4	306.365102
564	S	2	306.615124
0	key	2@	55999.345438
565	removal	2	307.215211
566	S	1	307.465254
0	key	1!	56000.201444
567	removal	1	308.065370
568	S	2	308.315387
0	key	2@	56001.161462
569	removal	2	308.915498
570	S	3	309.165544
0	key	9(	56001.913428
571	removal	3	309.765638
572	S	1	310.015637
0	key	1!	56002.801459
573	removal	1	310.615750
574	S	4	310.865807
0	key	0)	56003.593459
575	removal	4	311.465897
576	S	3	311.715935
0	key	9(	56004.473457
577	removal	3	312.316003
578	S	2	312.566053
0	key	2@	56005.273471
579	removal	2	313.166136
580	S	4	313.416175
0	key	0)	56006.161462
581	removal	4	314.016269
582	S	1	314.266300
0	key	1!	56007.009428
583	removal	1	314.866410
584	S	3	315.116438
0	key	9(	56007.857460
585	removal	3	315.716523
586	S	4	315.966578
0	key	0)	56008.737461
587	removal	4	316.566670
588	rest	+	316.816719
0	key	2@	56009.505460
589	cue	R	328.816510
590	R	2	330.816793
591	removal	2	331.418957
0	key	2@	56023.920433
592	R	1	331.669014
0	key	1!	56024.464560
593	removal	1	332.269087
594	R	4	332.519146
0	key	0)	56025.336587
595	removal	4	333.119224
596	R	3	333.369264
0	key	9(	56026.120586
597	removal	3	333.969350
598	R	2	334.219383
0	key	2@	56026.944585
599	removal	2	334.819485
600	R	1	335.069512
0	key	1!	56027.760554
601	removal	1	335.669619
602	R	4	335.919644
0	key	0)	56028.720584
603	removal	4	336.519760
604	R	3	336.769790
0	key	9(	56029.504587
605	removal	3	337.369889
606	R	4	337.619912
0	key	0)	56030.384590
607	removal	4	338.220022
608	R	1	338.470056
0	key	2@	56031.224595
0	key	1!	56031.344582
609	removal	1	339.070141
610	R	2	339.320177
0	key	2@	56032.072586
611	removal	2	339.920249
612	R	3	340.170301
0	key	9(	56032.904587
613	removal	3	340.770383
614	R	1	341.020447
0	key	1!	56033.776594
615	removal	1	341.620535
616	R	4	341.870565
0	key	0)	56034.592586
617	removal	4	342.470664
618	R	3	342.720687
0	key	9(	56035.448587
619	removal	3	343.320798
620	R	2	343.570833
0	key	2@	56036.272563
621	removal	2	344.170912
622	R	3	344.420958
0	key	0)	56037.152587
623	removal	3	345.021034
0	key	9(	56037.568593
624	R	2	345.271093
0	key	2@	56038.160586
625	removal	2	345.871187
626	R	4	346.121219
0	key	0)	56038.856554
627	removal	4	346.721303
628	R	1	346.971365
0	key	1!	56039.744552
629	removal	1	347.571447
630	R	2	347.821462
0	key	1!	56040.616583
0	key	2@	56040.696586
631	removal	2	348.421577
632	R	1	348.671604
0	key	1!	56041.512584
633	removal	1	349.271698
634	R	4	349.521744
0	key	0)	56042.312587
635	removal	4	350.121845
636	R	3	350.371869
0	key	9(	56043.152593
637	removal	3	350.971970
638	rest	+	351.221997
0	key	2@	56043.896587
639	cue	T	363.221817
640	T	1	365.222083
0	key	2@	56058.248593
641	removal	1	365.824273
642	T	2	366.074277
0	key	9(	56058.888577
643	removal	2	366.674375
644	T	4	366.924442
0	key	1!	56059.768587
645	removal	4	367.524520
646	T	3	367.774546
0	key	0)	56060.608585
647	removal	3	368.374637
648	T	1	368.624688
0	key	2@	56061.376585
649	removal	1	369.224792
650	T	3	369.474826
0	key	0)	56062.328586
651	removal	3	370.074909
652	T	2	370.324953
0	key	9(	56063.216586
653	removal	2	370.925050
654	T	4	371.175095
0	key	0)	56063.944586
655	removal	4	371.775169
656	T	3	372.025227
0	key	0)	56064.960572
657	removal	3	372.625294
658	T	2	372.875361
0	key	9(	56065.824586
659	removal	2	373.475439
660	T	1	373.725478
0	key	2@	56066.560581
661	removal	1	374.325581
662	T	4	374.575597
0	key	1!	56067.456584
663	removal	4	375.175702
664	T	2	375.425753
0	key	9(	56068.296584
665	removal	2	376.025817
666	T	1	376.275861
0	key	2@	56069.152585
667	removal	1	376.875949
668	T	3	377.125995
0	key	0)	56069.952587
669	removal	3	377.726102
670	T	4	377.976107
0	key	1!	56070.944587
671	removal	4	378.576214
672	T	1	378.826248
0	key	2@	56071.680583
673	removal	1	379.426365
674	T	2	379.676399
0	key	9(	56072.520587
675	removal	2	380.276484
676	T	4	380.526517
0	key	1!	56073.312587
677	removal	4	381.126613
678	T	3	381.376643
0	key	0)	56074.216582
679	removal	3	381.976745
680	T	1	382.226786
0	key	2@	56075.096586
681	removal	1	382.826879
682	T	4	383.076917
0	key	1!	56076.032586
683	removal	4	383.660324
684	T	3	383.927040
0	key	0)	56076.800583
685	removal	3	384.510463
686	T	2	384.760501
0	key	9(	56077.640553
687	removal	2	385.360604
688	T	4	385.610640
0	key	1!	56078.552579
689	removal	4	386.210726
690	T	3	386.460776
0	key	0)	56079.360584
691	removal	3	387.060872
692	T	2	387.310897
0	key	9(	56080.240588
693	removal	2	387.911003
694	T	1	388.161037
0	key	2@	56081.096554
695	removal	1	388.761137
696	T	3	389.011168
0	key	0)	56081.832585
697	removal	3	389.611268
698	T	1	389.861305
0	key	2@	56082.640559
699	removal	1	390.461402
700	T	2	390.711435
0	key	9(	56083.576587
701	removal	2	391.311499
702	T	4	391.561549
0	key	1!	56084.464586
703	removal	4	392.161643
704	T	3	392.411679
0	key	0)	56085.240588
705	removal	3	393.011767
706	T	2	393.261818
0	key	9(	56086.088576
707	removal	2	393.861904
708	T	1	394.111935
0	key	2@	56086.968532
709	removal	1	394.712057
710	T	4	394.962075
0	key	1!	56087.840585
711	removal	4	395.562179
712	T	2	395.812216
0	key	9(	56088.648556
713	removal	2	396.412309
714	T	4	396.662351
0	key	1!	56089.552587
715	removal	4	397.262437
716	T	1	397.512475
0	key	9(	56090.376593
717	removal	1	398.112568
718	T	3	398.362612
0	key	0)	56091.168593
719	removal	3	398.962686
720	T	1	399.212720
0	key	2@	56092.016562
721	removal	1	399.812826
722	T	4	400.062847
0	key	1!	56093.000588
723	removal	4	400.662941
724	T	3	400.912992
0	key	0)	56093.768585
725	removal	3	401.513070
726	T	2	401.763129
0	key	9(	56094.632585
727	removal	2	402.363217
728	T	4	402.613251
0	key	1!	56095.472588
729	removal	4	403.213353
730	T	1	403.463398
0	key	2@	56096.320591
731	removal	1	404.063458
732	T	2	404.313533
0	key	9(	56097.128587
733	removal	2	404.913630
734	T	3	405.163629
0	key	0)	56098.016588
735	removal	3	405.763739
736	T	1	406.013758
0	key	2@	56098.880587
737	removal	1	406.613876
738	T	3	406.863904
0	key	0)	56099.720579
739	removal	3	407.464001
740	T	2	407.714039
0	key	9(	56100.600588
741	removal	2	408.314127
