event	type	value	time
374	T	2	199.565577
375	removal	2	200.165653
376	T	1	200.415649
377	removal	1	201.015462
378	T	4	201.265454
379	removal	4	201.864931
380	T	2	202.115106
381	removal	2	202.714885
382	T	3	202.964573
383	removal	3	203.563990
384	T	2	203.814540
385	removal	2	204.414229
386	T	3	204.664061
387	removal	3	205.263864
388	T	4	205.513380
389	removal	4	206.113717
390	T	1	206.363098
391	removal	1	206.963473
392	rest	+	207.213261
393	cue	R	219.209040
394	R	1	221.208135
395	removal	1	221.808495
396	R	2	222.058392
397	removal	2	222.658280
398	R	3	222.907972
399	removal	3	223.508050
400	R	4	223.757446
401	removal	4	224.357087
402	R	3	224.607526
403	removal	3	225.206898
404	R	2	225.457363
405	removal	2	226.056878
406	R	1	226.306411
407	removal	1	226.906443
408	R	4	227.156467
409	removal	4	227.756626
410	R	2	228.006459
411	removal	2	228.605755
412	R	4	228.855993
413	removal	4	229.455914
414	R	1	229.705807
415	removal	1	230.305436
416	R	3	230.555153
417	removal	3	231.155158
418	R	4	231.405028
419	removal	4	232.005221
420	R	2	232.254378
421	removal	2	232.854875
422	R	1	233.104543
423	removal	1	233.704321
424	R	3	233.954501
425	removal	3	234.554032
426	R	4	234.803924
427	removal	4	235.404054
428	R	3	235.653832
429	removal	3	236.253540
430	R	1	236.503150
431	removal	1	237.103483
432	R	2	237.353486
433	removal	2	237.969649
434	R	4	238.219429
435	removal	4	238.819672
436	R	2	239.069240
437	removal	2	239.668972
438	R	1	239.918557
439	removal	1	240.518695
440	R	3	240.768774
441	removal	3	241.367955
442	rest	+	241.618731
443	cue	T	253.614106
444	T	4	255.613296
445	removal	4	256.212748
446	T	3	256.463257
447	removal	3	257.063165
448	T	1	257.312752
449	removal	1	257.912713
450	T	2	258.162300
451	removal	2	258.762325
452	T	4	259.011880
453	removal	4	259.612057
454	T	2	259.861959
455	removal	2	260.461949
456	T	3	260.712122
457	removal	3	261.311243
458	T	1	261.561701
459	removal	1	262.161548
460	T	2	262.411223
461	removal	2	263.011098
462	T	3	263.260995
463	removal	3	263.861009
464	T	4	264.110447
465	removal	4	264.710432
466	T	1	264.960419
467	removal	1	265.559718
468	T	3	265.810353
469	removal	3	266.410039
470	T	4	266.659587
471	removal	4	267.259776
472	T	2	267.509459
473	removal	2	268.109315
474	T	1	268.359292
475	removal	1	268.959049
476	T	3	269.209149
477	removal	3	269.808611
478	T	4	270.058654
479	removal	4	270.658555
480	T	2	270.908494
481	removal	2	271.508058
482	T	1	271.758249
483	removal	1	272.358199
484	T	4	272.607303
485	removal	4	273.207905
486	T	1	273.457474
487	removal	1	274.057158
488	T	2	274.307107
489	removal	2	274.906981
490	T	3	275.157157
491	removal	3	275.756458
492	T	1	276.006391
493	removal	1	276.606493
494	T	2	276.856789
495	removal	2	277.456073
496	T	3	277.706334
497	removal	3	278.305829
498	T	4	278.555770
499	removal	4	279.155678
500	T	2	279.405536
501	removal	2	280.005764
502	T	4	280.255062
503	removal	4	280.854942
504	T	3	281.105434
505	removal	3	281.704591
506	T	1	281.955051
507	removal	1	282.554485
508	T	2	282.804555
509	removal	2	283.404687
510	T	3	283.654080
511	removal	3	284.254036
512	T	4	284.503951
513	removal	4	285.103782
514	T	1	285.353819
515	removal	1	285.953355
516	T	4	286.203788
517	removal	4	286.803602
518	T	2	287.053466
519	removal	2	287.652449
520	T	3	287.919682
521	removal	3	288.519459
522	T	1	288.768700
523	removal	1	289.369045
524	T	2	289.618609
525	removal	2	290.218712
526	T	3	290.468988
527	removal	3	291.068537
528	T	4	291.317951
529	removal	4	291.918111
530	T	1	292.168441
531	removal	1	292.767406
532	T	2	293.017506
533	removal	2	293.617428
534	T	3	293.867306
535	removal	3	294.466960
536	T	4	294.717360
537	removal	4	295.317034
538	T	1	295.567092
539	removal	1	296.166540
540	T	2	296.416883
541	removal	2	297.016512
542	T	4	297.266066
543	removal	4	297.865796
544	T	1	298.116386
545	removal	1	298.715793
546	T	3	298.965838
547	removal	3	299.565636
548	T	2	299.815341
549	removal	2	300.415642
550	T	3	300.665262
551	removal	3	301.265217
